"","gene","importance","pvalue","qvalue"
"1","mmu_M00009",0.574410159138803,0,0
"2","mmu_M00011",0.515229348818945,0,0
"3","mmu_M00052",0.493192178711585,0,0
"4","mmu_M00002",0.481499989465029,0,0
"5","mmu_M00049",0.467332525443676,0,0
"6","mmu_M00010",0.465206454038691,0,0
"7","mmu_M00006",0.456447612881351,0,0
"8","mmu_M00020",0.436621087187421,0,0
"9","mmu_M00004",0.433381532382072,0,0
"10","mmu_M00128",0.424360523998065,0,0
"11","mmu_M00003",0.416317046059461,0,0
"12","mmu_M00001",0.394724161044628,0,0
"13","mmu_M00050",0.393611609487774,0,0
"14","mmu_M00868",0.389718892893889,0,0
"15","mmu_M00055",0.380482955581973,0,0
"16","mmu_M00048",0.37275492323361,0,0
"17","mmu_M00307",0.366534632683956,0,0
"18","mmu_M00862",0.364696079964229,0,0
"19","mmu_M00141",0.361090928376355,0,0
"20","mmu_M00415",0.359710506124767,0,0
"21","mmu_M00129",0.350782973666244,0,0
"22","mmu_M00079",0.343899270096398,0,0
"23","mmu_M00072",0.341393453898118,0,0
"24","mmu_M00065",0.340939065386471,0,0
"25","mmu_M00047",0.340535418998104,0,0
"26","mmu_M00086",0.335091044323863,0,0
"27","mmu_M00842",0.328492584408566,0,0
"28","mmu_M00014",0.32257761694454,0,0
"29","mmu_M00015",0.32005419826697,0,0
"30","mmu_M00085",0.317503315218577,0,0
"31","mmu_M00007",0.317197258762555,0,0
"32","mmu_M00075",0.311430051333247,0,0
"33","mmu_M00873",0.308696020898286,0,0
"34","mmu_M00076",0.307940604912435,0,0
"35","mmu_M00077",0.303644884527279,0,0
"36","mmu_M00087",0.302331453807872,0,0
"37","mmu_M00059",0.302150750553711,0,0
"38","mmu_M00078",0.297054753149951,0,0
"39","mmu_M00632",0.295782207598694,0,0
"40","mmu_M00135",0.293934282227235,0,0
"41","mmu_M00101",0.293058835740823,0,0
"42","mmu_M00032",0.289242142353495,0,0
"43","mmu_M00089",0.281191865937561,0,0
"44","mmu_M00036",0.275183887557427,0,0
"45","mmu_M00134",0.273775827393534,0,0
"46","mmu_M00861",0.273070468526172,0,0
"47","mmu_M00120",0.272894164280139,0,0
"48","mmu_M00554",0.269571139046048,0,0
"49","mmu_M00073",0.268144922413786,0,0
"50","mmu_M00071",0.262915408122605,0,0
"51","mmu_M00131",0.262351919479225,0,0
"52","mmu_M00109",0.261981579645317,0.00099009900990099,0.00188679245283019
"53","mmu_M00066",0.261880841367823,0.00099009900990099,0.00188679245283019
"54","mmu_M00880",0.255134574582607,0.00693069306930693,0.012962962962963
"55","mmu_M00058",0.250605975472588,0.0178217821782178,0.0327272727272727
